pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promises	correct	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	733	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-9.03193	-7.00851	-7.56149	-8.63791	-10.0683	-9.7643	-9.72726	-10.0266	-10.1548	-9.27205	-9.11454	-8.83475	-10.0606	-8.65153	-9.17167	-9.64919	-8.82508	-8.26568	-8.60234	-9.14714	-8.57365	-8.25763	-10.008	-8.32643	-11.2099	-9.58811	-8.53969	-8.40105	-8.87339	-9.22912	-8.39139	-9.25364	-9.4993	-9.30866	-8.86468	-7.31229
R__VERB_NOUN_CCONJ_VERB	11	9	sing	promise	wrong	generated	This wagon of mankind keeps around the rumor s disability and donations and	0	False	1387	9	13	This wagon of mankind keeps around the rumor s disability and donations and refuses a heater for the pleasure uniquely on the surgeon of the freedom in time of difference souls . <eos>	-8.59211	-8.53783	-8.5049	-9.48542	-9.54458	-11.1273	-10.4144	-8.52821	-10.7793	-10.6709	-9.05524	-9.73802	-10.7776	-9.25202	-9.52599	-9.15318	-9.69766	-9.37324	-9.2467	-8.92246	-9.52257	-9.06143	-9.84293	-10.5987	-10.9663	-10.4504	-9.23465	-9.68599	-9.53337	-9.56737	-8.74598	-10.2722	-10.6451	-10.7586	-10.0415	-9.53012
L__NOUN_VERB_VERB	12	2	plur	use	correct	generated	Administrative debtors that virtually would merge	1	False	47118	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-10.4205	-10.0114	-11.3943	-11.492	-10.5934	-10.9074	-11.6367	-13.4169	-10.7058	-10.7569	-11.2568	-11.4972	-10.6177	-9.33904	-12.6209	-13.3478	-12.6773	-11.8441	-9.54831	-12.6883	-9.54658	-10.7129	-12.5725	-11.6911	-10.7425	-10.6158	-10.7863	-11.6654	-11.2112	-10.6992	-9.72274	-10.6645	-8.4823	-10.7345	-9.24011	-12.3318
L__NOUN_VERB_VERB	12	2	plur	uses	wrong	generated	Administrative debtors that virtually would merge	1	False	7477	5	6	Administrative debtors that virtually would merge add crimes , notion , Penn guest and some hours of regions . <eos>	-13.8736	-12.968	-13.3362	-14.5655	-16.5473	-12.7143	-13.7052	-12.5171	-14.392	-12.4314	-13.456	-14.5259	-14.2324	-13.6539	-14.4867	-13.4072	-13.2075	-13.5438	-12.4307	-15.1875	-13.3982	-12.681	-15.4889	-13.9827	-13.5698	-14.2106	-13.7353	-14.7	-12.9403	-13.401	-13.5918	-13.1764	-11.1668	-14.3529	-13.9478	-14.2247
L__NOUN_VERB_VERB	18	2	sing	includes	correct	generated	The endless weird lot I have greeted	0	False	10564	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-10.7401	-13.8437	-13.9418	-14.3543	-12.7231	-14.633	-13.2999	-11.7486	-13.1645	-14.637	-12.769	-15.0296	-12.9865	-11.8187	-14.6589	-12.0989	-15.1329	-11.3707	-14.8245	-14.6289	-12.2551	-13.2575	-14.5394	-15.1339	-12.3301	-13.7543	-14.5512	-13.9462	-12.7557	-14.3114	-13.0034	-13.7994	-13.5641	-13.4903	-14.0539	-11.317
L__NOUN_VERB_VERB	18	2	sing	include	wrong	generated	The endless weird lot I have greeted	0	False	24625	4	7	The endless weird lot I have greeted appears that in the presence of IRS eighteen tow of the crab is abroad resolved in the gift the reputation before the plate , this paradise described after the peaceful sensor . <eos>	-9.40813	-11.8121	-11.1294	-11.832	-10.8478	-13.8495	-12.4245	-9.92834	-13.3582	-12.1494	-9.81019	-11.8418	-12.3501	-9.54872	-11.6025	-9.51521	-11.6162	-11.8762	-12.3242	-14.1195	-10.5798	-10.8359	-13.0378	-11.6513	-10.5363	-13.8878	-13.5047	-10.6718	-12.5674	-10.6392	-11.3353	-11.5532	-10.5933	-12.3853	-12.3408	-8.48619
R__VERB_NOUN_CCONJ_VERB	11	4	sing	shows	correct	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	10751	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-8.53485	-9.26353	-10.0306	-9.07182	-8.75823	-9.32539	-10.665	-8.39796	-9.19946	-9.70715	-8.57777	-8.94595	-9.49243	-9.91585	-8.24815	-9.73621	-9.67881	-8.26893	-10.321	-8.00798	-9.76087	-8.22843	-8.26607	-9.3972	-9.82898	-7.98738	-9.25699	-9.1791	-9.5093	-8.08071	-9.46715	-9.76922	-8.39723	-7.99124	-9.20071	-7.39819
R__VERB_NOUN_CCONJ_VERB	11	4	sing	show	wrong	generated	This dresser of chairman reflects around the veteran s sake and minerals and	0	False	26893	9	13	This dresser of chairman reflects around the veteran s sake and minerals and wins a timetable for the moon electronically on the storage of the skill in correlation of status walls . <eos>	-8.5013	-9.3089	-9.06202	-9.5362	-9.00186	-9.79976	-10.6602	-8.73792	-10.3501	-9.54302	-8.79431	-7.27794	-9.75083	-9.96975	-8.414	-9.5648	-9.29301	-9.25965	-9.93446	-8.68608	-10.06	-8.76562	-7.55986	-8.69338	-10.4407	-8.86978	-9.74091	-9.15935	-10.1988	-8.64889	-9.37809	-9.5113	-8.4608	-9.60957	-9.70991	-8.23013
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agree	correct	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	1854	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-12.1312	-11.8969	-11.7519	-10.6805	-12.1771	-10.5507	-12.3931	-13.2116	-11.6609	-11.0608	-12.3405	-14.5012	-10.7903	-12.6327	-11.725	-12.8456	-10.9247	-11.9249	-11.9583	-14.8575	-11.476	-12.3655	-12.9353	-11.4128	-15.8344	-11.7339	-12.4874	-14.0761	-11.5723	-12.4893	-12.0112	-10.5406	-12.2961	-13.7836	-11.2942	-12.6107
R__VERB_NOUN_CCONJ_VERB	13	2	plur	agrees	wrong	generated	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and	0	True	934	7	26	They apparently operate if you respond beard in your safety , ( for followers like me ) , they tend an accommodation of the farce and understand pleased advisers to contradict . <eos>	-9.9581	-10.5313	-11.048	-10.1605	-11.8214	-10.2735	-10.7812	-10.5291	-11.6921	-10.3766	-11.2836	-12.4194	-11.3192	-10.5881	-9.85501	-11.0687	-10.8478	-12.1376	-9.32617	-11.9342	-11.4062	-10.2725	-10.7387	-10.8141	-15.4037	-10.1953	-10.5217	-11.3544	-10.4529	-12.3875	-10.8014	-9.84538	-12.0268	-11.7737	-8.76292	-10.8657
L__NOUN_VERB_VERB	20	2	sing	eats	correct	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	232	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-17.6701	-14.376	-14.2506	-14.1362	-17.2285	-15.5006	-14.8964	-15.338	-13.6894	-15.3507	-15.2285	-13.1505	-14.3789	-15.1252	-13.5285	-13.9585	-15.6424	-15.3184	-16.6191	-16.3868	-15.8339	-18.9542	-14.7814	-15.3905	-15.6444	-13.4088	-13.4065	-15.2232	-14.9456	-16.0972	-13.5542	-14.7354	-15.6848	-14.6082	-13.5955	-16.8994
